"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029310471","","","2.138837707","3.605769231","3.981229008","6.16428154","13.48238863","16.51018679","57.05182028","65.05811016","72.10282734","99.64754854","103.3849507","108.1303554","112.2169532","119.1933145","126.1667964","129.636369","","131.6084502","134.5130685","134.5922251","135.13384","","","",
"Afghanistan","AFG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.113740162","0.867120278","2.487667492","4.78644517","9.733604444","17.53816162","28.94006019","37.49420045","35.46776644","46.44405817","49.972753","52.96647314","56.19133269","58.42052823","62.33541682","67.3505726","",
"Angola","AGO","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008206668","0.013177952","0.013974356","0.022462445","0.046736092","0.063337194","0.150472427","0.156961981","0.441611172","0.796692633","1.922721008","3.922459132","8.239941385","15.07531265","23.62896447","31.12838486","35.9626781","40.23840253","49.85108738","50.94450344","51.10017793","52.20027766","49.83804154","45.12169884","44.73497738","",
"Albania","ALB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.074380026","0.106691117","0.18042638","0.353321505","0.954237228","12.5752304","27.28413234","35.35834883","40.6614872","49.69649377","62.53038718","76.80249426","62.16072664","83.16046357","91.56092875","105.9228287","119.8614128","126.2764913","115.0261146","116.3375126","115.1522649","123.736096","",
"Andorra","AND","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.307566907","1.279296715","1.250857571","4.424432263","8.527035426","13.39717382","22.00898008","32.00248563","36.00397614","43.70145973","46.81009008","70.90951327","76.5515975","81.8593328","85.19959008","76.80297038","76.55763704","76.42371717","77.5556845","77.66355029","77.47692009","79.13427737","83.61334461","91.43999795","98.513218","104.3812122","",
"Arab World","ARB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0.00141071384959507","0.00209730320742957","0.00282405172453436","0.00462569270209683","0.0117055849978975","0.0177862998559569","0.0202037683970585","0.0292915794802123","0.0394106360519889","0.0567858974351316","0.0642325959029548","0.0819725548973739","0.105683944149938","0.198590797958288","0.35671229636018","0.612634949259301","0.936523163865631","1.49229100085564","3.17993512553423","5.74838638976165","8.52955880026078","11.6018857393572","16.8480647237923","26.8085386136418","38.8730558957873","52.5707346895472","62.9445581817551","76.139543397248","87.522071797255","96.3878359607462","102.164823093931","106.743675414095","106.339882935077","105.135737756412","102.586830683444","100.423540645109","",
"United Arab Emirates","ARE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","0.195873212","0.284423731","0.374371055","0.569640819","0.760145576","0.878505918","0.834798342","1.420580248","1.805099953","2.183118395","2.344392106","3.197691407","3.928739212","5.266536536","7.539186782","11.45821682","17.38029593","27.85213787","45.26621077","57.40482954","69.23040734","79.43305758","90.09733775","99.00822393","105.2891894","127.9189658","135.731907","139.2033777","132.1053857","135.2255383","154.7702347","178.359737","185.4180422","196.0013991","214.7349102","210.9140231","",
"Argentina","ARG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007128785","0.036663904","0.075315002","0.13843349","0.328340631","0.697847669","1.158443077","1.883190256","5.60661589","7.369604921","10.50224257","17.50781462","17.99177877","17.33135177","20.47079124","34.88984757","56.60020383","79.65438363","101.0796712","115.1709326","128.6361343","138.4689785","145.7687913","152.8090976","158.3489275","142.4663975","142.4348098","145.3216414","139.8146002","",
"Armenia","ARM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009469054","0.159587065","0.251907238","0.264194079","0.569652996","0.836017183","2.351727827","3.790137603","6.775584447","10.66811035","42.58110529","63.97460533","49.58359409","75.86762234","134.3391104","111.6718674","115.2993384","115.6476444","119.0252975","118.7709765","117.428481","119.0439694","",
"American Samoa","ASM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","1.411489525","1.77444795","2.316468158","2.364379209","2.41057687","2.548188056","2.683315146","3.170688744","3.463083048","3.706059304","3.466653045","3.552277687","3.796571274","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","1.718940075","1.800897876","1.878498704","10.38726155","26.32082695","29.39205474","44.28743653","52.81064919","61.1849485","96.35530458","122.0108304","122.9807071","147.7021562","144.1799083","177.4437202","183.8798985","131.6232163","116.9017828","121.4068268","176.1356244","178.2831334","180.3709368","",
"Australia","AUS","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0.027210198","0.191330413","0.56293083","1.085255106","1.687477572","2.842282271","3.901064702","6.8222219","12.40267674","21.83706648","24.78937693","26.34871762","33.47626435","44.90754851","57.77295033","65.05712832","72.83860687","82.61302181","91.012838","96.04538942","101.4958754","103.6429999","102.1204248","101.7176081","105.8238999","106.6434188","107.728789","106.7533735","108.2793309","110.0520902","112.6886209","",
"Austria","AUT","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0.128196575","0.25053135","0.343262099","0.481848426","0.659865022","0.954149231","1.484709112","2.202202471","2.798486991","3.500587439","4.800115042","7.467176728","14.43692147","28.51493275","52.79261389","75.80605745","80.77554402","82.8086898","88.96932087","97.26408257","104.9838556","112.0253092","119.2523915","129.7123099","136.6063093","145.5537959","153.9336566","159.5294796","154.7253124","150.0321433","155.2155247","163.7944858","170.8479228","",
"Azerbaijan","AZE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006507274","0.07716619","0.216407425","0.504689257","0.813526671","4.593919265","5.17559282","8.905394095","9.595246596","12.64268165","17.23923946","26.25721341","38.51013795","51.79782823","74.22430613","86.92028501","100.7490321","110.6460272","109.2853827","107.9359163","111.0350828","111.2258882","104.7671576","103.0466374","",
"Burundi","BDI","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006116369","0.006437761","0.009459821","0.00928637","0.010127457","0.010022061","0.012741004","0.254971873","0.509714332","0.771333795","0.920451027","1.400079165","2.061081011","2.605748437","3.400686662","5.852028137","10.84633806","19.14044027","21.17083327","24.11154424","26.42481094","32.28189236","49.00052651","50.90988631","54.49630416","",
"Belgium","BEL","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0.038253351","0.072649266","0.192328161","0.308521613","0.428519577","0.512179707","0.609837111","0.66976167","1.261047868","2.309551893","4.684160644","9.531632548","17.1557654","31.07315732","54.74598263","74.59042376","78.16562364","82.59725088","87.13361692","91.0666428","92.72859242","100.3765809","105.2186842","108.424729","111.110074","113.4644495","111.0959485","110.435401","113.5087018","113.1658212","110.4983466","104.6525275","",
"Benin","BEN","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.017779861","0.044418854","0.068373875","0.097152126","0.109077027","0.807987124","1.76635179","2.998741398","3.140393229","5.926732425","7.469934761","12.84824586","24.26761348","41.68565041","56.27182157","76.90743352","82.07767164","86.41903309","96.2316373","84.19047797","88.1051181","81.7903446","78.50112548","",
"Burkina Faso","BFA","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005061341","0.014092106","0.024888948","0.044634702","0.217480411","0.637828667","0.903051305","1.88147871","3.038539606","4.720289854","7.351160521","13.03701419","20.58683736","25.25328578","36.57655001","47.76859755","60.20140586","65.84120178","71.04746583","79.77028842","82.61118896","93.50293242","",
"Bangladesh","BGD","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000224776","0.000439773","0.000950231","0.002106028","0.003298435","0.02099235","0.059312936","0.115477297","0.212036301","0.387749618","0.786965411","0.981880168","1.968444857","6.274789733","13.16038088","23.35883443","29.99882787","34.13606372","44.64297594","54.81622359","62.40405769","73.96847136","79.58713274","81.49814015","83.44924467","91.66528709","",
"Bulgaria","BGR","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011660599","0.076699161","0.249666435","0.320651356","0.852439548","1.560663609","4.338726618","9.227552572","19.54468204","33.02211545","44.86061487","61.0818771","81.27426627","108.2421033","130.7987803","138.8622153","140.219688","137.7516108","142.3977664","147.4715073","144.3245321","131.3588553","128.1054159","125.8343483","120.4435385","",
"Bahrain","BHR","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0.142566473","0.381314689","0.620375665","0.88361845","1.037845991","1.442625524","1.851126103","2.118561094","3.20531016","4.89623008","6.926251322","9.840317348","15.00125468","20.9675671","30.95435847","42.94852405","52.9131549","56.90288181","78.2991584","86.27199809","94.68069123","107.7313154","129.2656493","118.3071469","126.2831806","132.4955858","163.349887","168.0227701","174.2741117","183.6239982","210.140748","158.4150038","",
"Bahamas, The","BHS","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.749797141","0.773602537","0.976951461","0.885438755","","1.463501696","1.74354276","2.160504582","2.782872509","5.419794803","10.58242976","19.97624821","39.38419638","38.71086253","57.67193963","69.17894967","75.33186434","109.2516534","102.6884558","101.1148184","118.7192378","81.51011545","80.63670744","76.07888877","82.38292483","80.44064957","92.06813349","89.42207249","",
"Bosnia and Herzegovina","BIH","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.039678572","0.239844517","0.671406498","1.399450616","2.479248447","11.79203157","19.83099242","28.43926317","37.22121595","42.16195561","49.94935795","64.9291203","84.46797866","86.93943593","83.56160151","85.96907179","92.0328107","96.76338329","97.90202025","97.38568949","96.793321","98.09148345","",
"Belarus","BLR","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003176312","0.016946229","0.058142585","0.064773502","0.081077639","0.121149468","0.234876914","0.496828494","1.401089298","4.71728126","11.47837579","23.14053609","42.60751108","62.24515128","72.9799649","85.49192197","102.107906","109.0765603","112.9524212","112.7193343","117.254509","120.211978","120.688975","120.6731574","120.5611904","",
"Belize","BLZ","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.20241276","0.412546982","0.747476602","1.022108239","1.147983358","1.535061055","2.757440613","6.797808463","15.35586547","19.7283815","22.44380039","27.16515327","33.88909089","40.58511352","39.64853371","52.26985449","51.5349012","60.38438099","67.56148388","51.20953012","50.73348035","48.9914528","58.99055911","60.75093881","63.90529544","",
"Bermuda","BMU","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","1.230632","1.825045134","2.348643006","3.138933476","5.480865332","8.218848688","10.0867679","12.66948211","16.24432887","19.79499614","20.07307855","20.30361717","20.72819987","46.4324408","61.66178511","75.30930608","80.94580071","92.37200867","106.3305184","122.2437137","132.1866787","137.9073113","","144.0352016","150.2286088","95.36565035","61.28735706","103.6081471","105.9463072","",
"Bolivia","BOL","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004218793","0.021747949","0.036555732","0.054671465","0.095536847","0.432785833","1.50470311","2.98111672","5.136976592","6.986260107","9.179408866","11.82586618","14.51513095","20.08074274","26.53472299","30.98178952","34.46940955","52.48620943","66.24200154","72.3847331","82.88339661","92.7161177","100.2446092","98.94133387","94.76091883","92.82077083","99.20033298","",
"Brazil","BRA","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000446596","0.004408574","0.020703361","0.115825682","0.359418026","0.792088624","1.514828646","2.715685664","4.329899682","8.701530372","13.22864408","16.17196098","19.36206845","25.41249446","35.51236744","46.12216626","52.86352359","63.3315358","78.06102237","86.91075624","100.0679429","117.9533009","123.8145622","133.9368763","137.468532","125.1755852","117.5362334","112.9965568","",
"Barbados","BRB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.186010908","0.303603576","0.592955236","1.123799784","1.7414015","2.362545217","3.001741932","4.478447472","7.552003927","10.54931128","19.62096163","35.80142774","51.42181313","73.28619398","75.24935312","86.21286436","93.28118776","104.0902354","121.0403275","125.2145266","123.9899359","124.0463803","108.9197158","107.7883445","117.7945021","116.5658465","115.3458468","",
"Brunei Darussalam","BRN","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0.684738296","1.13604783","1.497647493","2.947283239","5.396079786","12.07333979","14.28426086","14.42132048","15.39023","20.22746706","28.50789669","42.04553139","44.29565222","50.18973426","56.3118354","63.78061004","81.40445645","97.67222246","105.1693861","107.5852329","111.9492001","112.4737001","117.5090307","115.5522582","109.8007306","110.9790153","123.6904413","127.0669027","",
"Bhutan","BTN","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.361706291","2.988995474","5.48246449","12.20984547","21.75373167","36.15507526","47.4398775","54.19100903","65.3858827","74.49064833","71.1587911","80.43500659","85.82156655","87.54119321","90.46730476","",
"Botswana","BWA","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.909785131","5.41220405","12.85568812","18.93312288","18.66700975","24.66155196","28.58095587","30.37860778","43.68184911","60.16258761","76.3372588","94.65720684","117.298669","141.3838961","147.4993479","152.5382345","157.2696423","157.3117744","146.1602659","141.4078697","",
"Central African Republic","CAF","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001312349","0.031171589","0.038950232","0.045394085","0.113205248","0.132277457","0.287041161","0.322447572","1.004604858","1.479641611","2.422533437","2.617951819","7.951728332","13.11736173","19.60935283","22.01250976","22.17180691","25.45675055","30.23122005","25.59290533","27.330987","27.16972738","25.22792053","",
"Canada","CAN","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0.046378695","0.22893703","0.370210261","0.751945184","1.263177571","2.108015548","2.766417899","3.616820537","4.642708135","6.42791606","8.829776864","11.80799208","14.0286224","17.71481298","22.69345349","28.39362459","34.32422881","37.9044158","42.02314887","47.01181245","52.70258468","57.43244785","61.40957528","66.13620397","70.47060993","75.58210932","77.71010667","79.42532966","80.44136099","80.85723896","82.79621957","84.74001333","86.53568096","",
"Central Europe and the Baltics","CEB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00259907259209398","0.0116687089911537","0.0408541593152568","0.0999043757514743","0.264804569654302","0.501959797681844","1.10968548862392","2.8487672485551","5.70992535666685","10.8769428162044","20.6679483930289","32.4419901770387","44.1107974957696","54.0202215747405","67.6941702959729","82.1053250446871","97.0014496178736","111.235131622503","119.257552853207","119.999257173787","122.192105578253","125.324320117753","129.949935583212","132.372485899113","131.464296361654","127.961200072463","126.76438349119","123.778004139038","",
"Switzerland","CHE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0.083819551","0.468149037","1.098856274","1.873394168","2.589455767","3.155526562","3.739378374","4.771619748","6.371238971","9.385310344","14.72664421","23.87258864","42.83146907","64.71825317","73.24755976","79.18789483","84.87507976","85.4029135","92.22603163","99.39516725","108.57798","116.3559314","120.4909656","123.1383135","127.1387232","131.49289","135.8549107","135.486059","135.1384876","133.8068821","130.8219143","",
"Channel Islands","CHI","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.037510181","0.105126576","0.268524521","0.471346971","0.61361404","0.821004941","1.380145074","2.203599353","2.788326647","6.476785353","14.99432379","22.28644319","33.02553084","39.96707552","46.00311199","57.97867605","65.45816626","76.29264515","84.61961472","88.80473237","97.74669297","116.8235653","130.0925994","138.3092103","135.4942644","134.4441329","130.64668","130.1112399","127.4632858","",
"China","CHN","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","6.3E-05","0.000284853","0.000849973","0.001562461","0.003998037","0.014696215","0.052418431","0.127584239","0.292675451","0.54824814","1.05101637","1.882769338","3.394681872","6.644332017","11.21820253","15.8630534","20.66477271","25.48113353","29.76687407","34.68664201","40.9414866","47.69694564","55.2645244","63.17336105","72.12191839","80.87231798","88.88624773","92.51732892","92.48087287","97.25213003","104.2826788","",
"Cote d'Ivoire","CIV","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.090355285","0.233070262","0.574218272","1.577486653","2.834328775","4.275460688","5.914012579","7.244019932","9.303013523","12.81304634","21.74087613","39.1267478","53.59033492","66.13195203","76.46091326","83.00542643","84.50379327","88.27563771","98.10586139","109.9493294","115.8480074","130.6752817","",
"Cameroon","CMR","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.012204741","0.020800841","0.025339418","0.029649662","0.034426797","0.040290384","0.676164841","2.662691065","4.361280521","6.521809427","9.026833471","12.92999545","17.51968009","24.65835324","32.58523506","41.18926084","43.24706023","51.10324351","62.17540968","72.33502103","76.61480463","79.53162759","79.85559142","83.71005458","",
"Congo, Dem. Rep.","COD","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0.020434783","0.016834015","0.020305659","0.022301253","0.02614455","0.031863108","0.309953615","1.123691191","2.425032496","3.753655871","5.01556159","7.809046462","11.28427783","16.4602089","15.15565235","18.31951369","23.45080719","29.12882273","39.58703087","50.32761616","49.54653172","36.6912986","43.49059653","",
"Congo, Rep.","COG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.034731605","","0.111203945","0.159421288","2.170053448","4.523786977","6.509782283","9.421790431","10.64095107","15.01225175","23.87849671","32.38308193","43.90787365","69.3113215","84.77338168","86.0844101","92.44114912","98.07149188","101.2112046","104.4108792","105.8171949","96.1079694","",
"Colombia","COL","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.23573238","0.733374736","1.374166148","3.272737868","4.588433897","4.938650446","5.585593867","7.966206175","11.05681639","14.67589637","24.34355004","50.47862531","67.89603009","76.48776421","92.12323077","92.82949837","96.8630146","99.55561322","104.6604421","106.2356297","115.773299","118.8658902","120.6182941","126.8138818","",
"Comoros","COM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.34292906","1.402814336","2.537984752","5.886897873","9.6792494","13.95875715","18.2095263","23.96403032","30.63225248","39.16611868","46.86446392","50.43554982","54.64019634","57.11267331","57.61237087","",
"Cabo Verde","CPV","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004899859","0.244414997","1.892630517","4.534578778","7.100713069","9.49976333","11.59238243","14.06565397","17.22011855","22.64125043","31.29114091","56.46878425","58.4794039","74.0212666","78.02691377","82.74851696","96.03004003","116.5149866","114.74068","111.5642375","112.0557186","",
"Costa Rica","CRI","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.092341716","0.135677778","0.203900528","0.534047143","1.293702172","1.748352103","2.887157709","3.590229798","5.390831048","8.180148209","12.3665462","18.86341421","22.04622934","25.92622935","33.50628969","34.51721479","42.59096044","43.453737","68.82682695","90.27476299","115.5552433","151.1129417","147.5628235","156.7352531","171.5090398","180.2029814","",
